River,Sample Point,Month,Year,COVID,Temp.(0C):Lab.,PH : Lab.,EC(micro S/cm),Chloride (mg/L),T. Alkalinity(mg/L),Turbidity. NTU,TS (mg/L),TDS (mg/L),SS (mg/L),DO (mg/L),BOD5 (mg/L),COD (mg/L)
Turag River," North Side of Tongi Bridge, Pagar, Tongi",1,2017,Before,18.4,7.81,557,49,260,54,359,314,45,0,28.2,113
Turag River,"Near Estema Mat, Tongi ",1,2017,Before,18.6,8.13,813,52,280,56,516,464,52,0,30.8,121
Turag River," Near Fulpukuria Dyeing Ltd, Pagar, Tongi",1,2017,Before,18.4,7.52,702,433,395,38,62,210,48,0,11.2,54
Balu River,"Near Hossain Dyeing Ltd,Pagar, Tongi",1,2017,Before,18.2,7.45,688,432,390,42,57,230,52,0,14.2,61
Balu River,"Tongi Rail Bridge, Pagar, Tongi",1,2017,Before,18.1,7.68,689,431,391,40,56,220,54,0,12.2,38
Shitalakhya River, Demra Ghat,1,2017,Before,18.8,7.24,590,314,387,73,220,38,12,0,20.4,68
Shitalakhya River, Near Ghorashal Fertilizer Factory,1,2017,Before,18.3,7.59,611,230,200,30,170,15,3.4,3.4,8.4,24
Shitalakhya River,Near ACI Factory,1,2017,Before,18.8,7.48,610,320,388,68,240,42,22,0,24.2,72
Buriganga River,Mirpur Bridge. ,1,2017,Before,18.2,7.74,745,398,360,38,45,224,38,0.2,11.2,46
Buriganga River,Hazaribagh ,1,2017,Before,18.4,7.55,741,399,359,40,47,222,42,0,7.2,28
Buriganga River,Kamrangir Char ,1,2017,Before,18.6,7.62,735,394,356,38,50,220,41,0,10.8,48
Buriganga River,Chadnighat,1,2017,Before,18.2,7.51,787,436,391,45,62,244,39,0,11.8,56
Buriganga River,Sadar Ghat,1,2017,Before,18.2,7.57,738,403,355,48,52,216,44,0.5,10.7,38
Buriganga River,Dholaikhal ,1,2017,Before,18.6,7.58,744,389,357,32,53,226,42,0,10.8,43
Buriganga River,Bangladesh China Friendship Bridge,1,2017,Before,19,7.55,744,399,359,40,54,218,42,0,13.2,41
Buriganga River,Pagla,1,2017,Before,18.8,7.61,747,409,359,50,55,220,42,0,7.8,28
Turag River,Near Gabtoli Bridge ,2,2017,Before,21,7.58,1152,49,260,120,687,542,145,0,28.2,90
Turag River,Mirpur Diabari BIWTA Landing Station  ,2,2017,Before,20.8,7.35,1153,52,280,220,805,545,260,0,30.8,84
Turag River,Asshulia BIWTA Landing Station ,2,2017,Before,21,7.69,1512,105,210,240,1015,718,297,0,28.4,82
Turag River,Tongi Istima Mat,2,2017,Before,20.6,7.59,1359,94,234,60,749,645,104,0,32.4,92
Balu River,"Near Jabar & Jubair Fabrics Ltd, Tongi",2,2017,Before,26.2,7.52,702,433,395,38,62,210,48,0,45.4,197
Balu River,"Near Hossain Dyeing Ltd, Pagar, Tongi",2,2017,Before,26.4,7.45,688,432,390,42,57,230,52,0,42.4,189
Balu River," Pagar, Tongi",2,2017,Before,26.1,7.68,689,431,391,40,56,220,54,0.25,36.4,98
Balu River,"Near Damra University College, Demra Dhaka",2,2017,Before,26.1,7.83,1012,702,506,196,73,280,250,0.18,38.2,111
Shitalakhya River,Demra Ghat,2,2017,Before,26.6,7.42,872,416,463,147,260,38,190,0,36.5,99
Shitalakhya River,Near Ghorashal Fertilizer Factory,2,2017,Before,26.8,8.11,449,228,238,10,80,15,8,6.2,2,10
Shitalakhya River,Near ACI Factory,2,2017,Before,27.2,7.48,1108,556,754,198,280,106,260,0,44.6,110
Shitalakhya River,Near Kachpur Bridge,2,2017,Before,27.4,7.83,1012,506,702,196,270,104,250,0.17,41.5,107
Buriganga River,Mirpur Bridge,2,2017,Before,20.8,7.14,904,398,484,118,49,280,75,0.2,18.6,72
Buriganga River,Hazaribagh,2,2017,Before,21,7.25,902,399,497,95,67,274,55,0,20.6,61
Buriganga River,Kamrangir Char,2,2017,Before,20.8,7.31,850,394,473,80,63,282,65,0,13.7,36
Buriganga River,Chadnighat,2,2017,Before,21.2,7.35,856,436,477,95,65,284,55,0,25,67
Buriganga River,Sadar Ghat,2,2017,Before,21.1,7.35,848,403,472,102,61,280,80,0.5,25,77
Buriganga River,Dholaikhal ,2,2017,Before,21,7.26,849,389,472,95,66,282,80,0,22.6,82
Buriganga River,Bangladesh China Friendship Bridge ,2,2017,Before,20.8,7.18,900,399,498,86,65,270,50,0,20.9,77
Buriganga River,Pagla ,2,2017,Before,20.8,7.13,764,409,423,86,63,258,80,0,24.8,59
Turag River,Near Gabtoli Bridge ,3,2017,Before,27,7.63,1219,74,286,150,678,608,170,0.73,28.2,62
Turag River,Mirpur Diabari BIWTA Landing Station  ,3,2017,Before,26.6,7.42,1345,73,278,210,818,638,180,0.89,30.8,105
Turag River,Asshulia BIWTA Landing Station ,3,2017,Before,27.6,7.64,1679,110,320,220,1069,789,280,0.46,28.4,88
Turag River,Tongi Istima Mat,3,2017,Before,27.8,7.42,1238,84,304,80,684,574,110,0.32,32.4,108
Balu River,"Near Jabar & Jubair Fabrics Ltd, Tongi",3,2017,Before,29.5,8.34,2116,1181,971,210,62,310,171,0.15,54.6,232
Balu River,"Near Hossain Dyeing Ltd, Pagar, Tongi",3,2017,Before,30.1,8.26,2433,1344,1110,234,176,318,188,0,68.8,282
Balu River,"Near Damra University College, Demra Dhaka",3,2017,Before,26.1,7.66,685,436,396,40,55,218,54,0.24,36.6,99
Balu River,"Near Balu Bridge, 300 feet Road,  Dhaka",3,2017,Before,26.1,7.85,1015,705,510,195,75,280,250,0.14,38.3,114
Shitalakhya River,Demra Ghat,3,2017,Before,26.6,7.41,874,420,465,145,260,38,185,0,36.6,95
Shitalakhya River,Near Ghorashal Fertilizer Factory,3,2017,Before,26.8,8.15,410,210,231,21,150,15,12.1,6.8,2.8,10
Shitalakhya River,Near ACI Factory,3,2017,Before,27.2,7.48,1108,556,754,198,280,106,220,0.8,44.2,104
Shitalakhya River,Near Kachpur Bridge,3,2017,Before,27.4,7.81,1016,509,701,192,260,105,248,0.15,41.5,107
Buriganga River,Mirpur Bridge,3,2017,Before,26.8,7.31,1054,656,538,118,65,280,75,0.1,28.2,88
Buriganga River,Hazaribagh,3,2017,Before,26.3,7.27,1138,684,589,95,70,274,55,0,26.2,70
Buriganga River,Kamrangir Char,3,2017,Before,26.8,7.45,1155,674,594,80,73,282,65,0,23.9,95
Buriganga River,Chadnighat,3,2017,Before,27.1,7.37,1178,700,605,95,76,284,55,0.1,31,88
Buriganga River,Sadar Ghat,3,2017,Before,27.2,7.47,1148,695,593,102,89,276,80,0.5,28.6,93
Buriganga River,Dholaikhal ,3,2017,Before,27.5,7.4,1161,694,599,95,78,282,80,0,26.7,100
Buriganga River,Bangladesh China Friendship Bridge ,3,2017,Before,26.8,7.36,1153,679,593,86,82,276,50,0,32,113
Buriganga River,Pagla ,3,2017,Before,26.9,7.48,1150,678,592,86,78,278,80,0,28.2,90
Turag River,Near Gabtoli Bridge ,4,2017,Before,29,7.43,897,60,262,32.3,509,441,68,0.68,24.2,74
Turag River,Mirpur Diabari BIWTA Landing Station  ,4,2017,Before,29.6,7.26,808,58,256,96.3,537,394,143,1.2,54,118
Turag River,Asshulia BIWTA Landing Station ,4,2017,Before,29.6,7.8,1362,135,314,48.7,781,677,74,0.56,18.4,55
Turag River,Tongi Istima Mat,4,2017,Before,29.8,7.45,845,72,238,80.6,532,410,122,0.8,29,92
Balu River,"Near Jabar & Jubair Fabrics Ltd, Tongi",4,2017,Before,30.4,8.81,1454,1181,771,95,77,430,50.7,0.15,78,164
Balu River,"Near Hossain Dyeing Ltd, Pagar, Tongi",4,2017,Before,30.1,7.66,1046,620,513,107,94,314,53.7,0,84,200
Balu River,"Near Damra University College, Demra Dhaka",4,2017,Before,29.9,7.5,685,436,396,19,54,232,9.36,2.2,12.4,36
